YEAR,LOCATION,"REFERENCE PERIOD",COMMODITY,"PRODN PRACTICE","AREA HARVESTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $"
2013,"NEW YORK",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,100,000","2,530,000",2.3," "
2013,"NORTH CAROLINA",YEAR,HAY,"ALL PRODUCTION PRACTICES","759,000"," "," "," "
2013,"NORTH CAROLINA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","9,000"," "," "," "
2013,"NORTH CAROLINA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","750,000","1,950,000",2.6," "
2013,"NORTH DAKOTA",YEAR,HAY,"ALL PRODUCTION PRACTICES","2,230,000"," "," "," "
2013,"NORTH DAKOTA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","950,000","1,615,000",1.7," "
2013,"NORTH DAKOTA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,280,000","2,688,000",2.1," "
2013,OHIO,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,060,000"," "," "," "
2013,OHIO,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","310,000","1,054,000",3.4," "
2013,OHIO,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","750,000","1,650,000",2.2," "
2013,OKLAHOMA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","3,000,000","4,800,000",1.6," "
2013,OKLAHOMA,YEAR,HAY,"ALL PRODUCTION PRACTICES","3,230,000"," "," "," "
2013,OKLAHOMA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","230,000","644,000",2.8," "
2013,OREGON,YEAR,HAY,"ALL PRODUCTION PRACTICES","980,000"," "," "," "
2013,OREGON,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","580,000","1,276,000",2.2," "
2013,OREGON,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","400,000","1,840,000",4.6," "
2013,PENNSYLVANIA,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,000,000","2,000,000",2," "
2013,PENNSYLVANIA,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","380,000","1,140,000",3," "
2013,PENNSYLVANIA,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,380,000"," "," "," "
2013,"RHODE ISLAND",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,000"," "," "," "
2013,"RHODE ISLAND",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","8,000"," "," "," "
2013,"RHODE ISLAND",YEAR,HAY,"ALL PRODUCTION PRACTICES","9,000"," "," "," "
2013,"SOUTH CAROLINA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","320,000"," "," "," "
2013,"SOUTH CAROLINA",YEAR,HAY,"ALL PRODUCTION PRACTICES","320,000"," "," "," "
2013,"SOUTH DAKOTA",YEAR,HAY,"ALL PRODUCTION PRACTICES","3,080,000"," "," "," "
2013,"SOUTH DAKOTA",YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,300,000","2,210,000",1.7," "
2013,"SOUTH DAKOTA",YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","1,780,000","3,916,000",2.2," "
2013,TENNESSEE,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","15,000"," "," "," "
2013,TENNESSEE,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","1,850,000","4,625,000",2.5," "
2013,TENNESSEE,YEAR,HAY,"ALL PRODUCTION PRACTICES","1,865,000"," "," "," "
2013,TEXAS,YEAR,"HAY ALFALFA","ALL PRODUCTION PRACTICES","90,000","468,000",5.2," "
2013,TEXAS,YEAR,"HAY (EXCL ALFALFA)","ALL PRODUCTION PRACTICES","4,700,000","8,460,000",1.8," "
2013,TEXAS,YEAR,HAY,"ALL PRODUCTION PRACTICES","4,790,000"," "," "," "
