YEAR,name,REFERENCE PERIOD,COMMODITY,PRODN PRACTICE,AREA HARVESTED in ACRES,tons-produced,dollars,price-per-ton,yield-tons-per-acre
1998,Utah,YEAR,HAY,ALL PRODUCTION PRACTICES,"710,000",2778000,204216000,73,3.91
1998,Vermont,YEAR,HAY,ALL PRODUCTION PRACTICES,"245,000",504000,60560000,120,2.06
1998,Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,260,000",2604000,213468000,81,2.07
1998,Washington,YEAR,HAY,ALL PRODUCTION PRACTICES,"750,000",3156000,312588000,99,4.21
1998,West Virginia,YEAR,HAY,ALL PRODUCTION PRACTICES,"580,000",1157000,66089000,57,1.99
1998,Wisconsin,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,350,000",6265000,469770000,74,2.67
1998,Wyoming,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,190,000",2445000,181395000,74,2.05
1997,Alabama,YEAR,HAY,ALL PRODUCTION PRACTICES,"770,000",1733000,81451000,47,2.25
1997,Alaska,YEAR,HAY,ALL PRODUCTION PRACTICES,"22,500",26000,4940000,190,1.16
1997,Arizona,YEAR,HAY,ALL PRODUCTION PRACTICES,"230,000",1706000,187594000,109,7.42
1997,Arkansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,225,000",2470000,138560000,56,2.02
1997,California,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,510,000",8408000,967624000,115,5.57
1997,Colorado,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,590,000",4739000,485954000,102,2.98
1997,Connecticut,YEAR,HAY,ALL PRODUCTION PRACTICES,"72,000",137000,18904000,137,1.9
1997,Delaware,YEAR,HAY,ALL PRODUCTION PRACTICES,"15,000",48000,7056000,147,3.2
1997,Florida,YEAR,HAY,ALL PRODUCTION PRACTICES,"250,000",650000,55900000,86,2.6
1997,Georgia,YEAR,HAY,ALL PRODUCTION PRACTICES,"600,000",1560000,92040000,59,2.6
1997,Idaho,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,300,000",4730000,483110000,102,3.64
1997,Illinois,YEAR,HAY,ALL PRODUCTION PRACTICES,"970,000",3159000,315588000,99,3.26
1997,Indiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"725,000",2333000,259635000,111,3.22
1997,Iowa,YEAR,HAY,ALL PRODUCTION PRACTICES,"1,650,000",5190000,543660000,104,3.15
1997,Kansas,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,700,000",6840000,550080000,80,2.53
1997,Kentucky,YEAR,HAY,ALL PRODUCTION PRACTICES,"2,100,000",4635000,330660000,71,2.21
1997,Louisiana,YEAR,HAY,ALL PRODUCTION PRACTICES,"395,000",1027000,55458000,54,2.6
1997,Maine,YEAR,HAY,ALL PRODUCTION PRACTICES,"165,000",253000,29189000,115,1.53
